Player,Team,Role,Nationality,Mat,Inns,Runs,Avg,SR,50,4s,6s
Shardul Thakur,CSK,All Rounder,Indian origin,61,14,53,3.583333333,128.9666667,0,5,1
Shaun Marsh,PBKS,All Rounder,Overseas,17,17,775,50.12,129.165,6,72,30
Sheldon Cottrell,PBKS,All Rounder,Overseas,6,1,0,0,0,0,0,0
Shikhar Dhawan,PBKS,Batsmen,Indian origin,162,162,4984,36.15636364,126.8090909,37,570,103
Shimron Hetmyer,DC,All Rounder,Overseas,31,29,517,25.23,146.4433333,2,34,31
Shivam Dube,RCB,All Rounder,Indian origin,24,22,399,20.16666667,121.0766667,1,24,22
Shivam Mavi,KKR,All Rounder,Indian origin,26,9,48,7.276666667,94.36,0,4,2
Shivil Kaushik,PBKS,Batsmen,Indian origin,7,2,0,0,0,0,0,0
Shreevats Goswami,SRH,Batsmen,Indian origin,2,2,0,0,0,0,0,0
Shreyas Gopal,RR,Batsmen,Indian origin,48,21,171,8.808571429,100.7757143,0,17,2
Shreyas Iyer,KKR,Batsmen,Indian origin,87,87,2375,30.05428571,116.4757143,16,196,88
Shubman Gill,GT,Batsmen,Indian origin,58,55,1417,32.165,126.815,10,137,36
Siddarth Kaul,PBKS,All Rounder,Indian origin,47,10,13,0.2,44.284,0,1,0
Siddhesh Lad,MI,Batsmen,Indian origin,1,1,15,15,115.38,0,1,1
Sreenath Aravind,CSK,Batsmen,Indian origin,5,1,0,0,0,0,0,0
Steve Smith,RR,Batsmen,Overseas,103,93,2485,35.42111111,128.6,11,225,60
Stuart Binny,RR,All Rounder,Indian origin,16,12,148,19.465,138.815,0,11,7
Sunil Narine,KKR,All Rounder,Overseas,134,76,954,10.66,116.707,4,106,57
Suryakumar Yadav,MI,Batsmen,Indian origin,114,99,2341,28.195,134.78875,13,261,68
Swapnil Singh,SRH,Batsmen,Indian origin,5,3,12,3,31.575,0,0,0
T Natarajan,SRH,All Rounder,Indian origin,16,3,3,0,60,0,0,0
Tabraiz Shamsi,RR,All Rounder,Overseas,1,1,2,0,50,0,0,0
Tim David,MI,Batsmen,Overseas,1,1,1,1,33.33,0,0,0
Tim Seifert,KKR,Batsmen/WK,Overseas,1,1,2,2,50,0,0,0
Tim Southee,KKR,All Rounder,Overseas,38,15,118,9,129.8142857,0,8,4
Tom Banton,MI,Batsmen,Overseas,2,2,18,9,90,0,1,1
Tom Curran,MI,All Rounder,Overseas,13,10,127,37.22,113.1766667,1,10,3
Travis Head,RCB,All Rounder,Overseas,10,10,205,28.6,137.405,1,12,8
Trent Boult,MI,All Rounder,Overseas,54,10,13,1.4,52.5,0,0,1
Tushar Deshpande,MI,Batsmen,Indian origin,5,2,21,21,175,0,2,1
Umesh Yadav,DC,All Rounder,Indian origin,90,32,116,11.40625,92.66625,0,11,4
Varun Aaron,RCB,Batsmen,Indian origin,20,6,14,2.75,73.2125,0,0,1
Varun Chakaravarthy,KKR,All Rounder,Indian origin,30,6,12,3.5,58.33,0,0,0
Venkatesh Iyer,KKR,All Rounder,Indian origin,10,10,370,41.11,128.47,4,37,14
Vijay Shankar,SRH,All Rounder,Indian origin,46,39,712,31.936,123.378,3,45,28
Vinay Kumar,SRH,Batsmen,Indian origin,5,3,19,6.5,154.165,0,1,1
Virat Kohli,RCB,Batsmen,Indian origin,159,158,5366,40.42545455,128.4945455,38,465,181
Vishnu Vinod,MI,Batsmen/WK,Indian origin,3,3,19,6.33,73.07,0,1,1
Wanindu Hasaranga,RCB,All Rounder,Overseas,2,2,1,1,50,0,0,0
Washington Sundar,RCB,All Rounder,Indian origin,42,26,217,11.482,92.434,0,17,6
Wayne Parnell,SRH,All Rounder,Overseas,18,8,26,3.916666667,80.59666667,0,2,0
Wriddhiman Saha,GT,Batsmen/WK,Indian origin,118,98,1970,25.14833333,122.2841667,8,186,61
Yashasvi Jaiswal,RR,Batsmen,Indian origin,13,13,289,19.115,119.555,1,34,12
Yuzvendra Chahal,RR,All Rounder,Indian origin,100,18,32,1.19,51.12285714,0,0,0
