Player,Team,Role,Nationality,Mat,Inns,Runs,Avg,SR,50,4s,6s,Role_Encoded,Nationality_Encoded,Predicted_Avg,Predicted_SR,Combined_Score
Manan Vohra,PBKS,Batsmen,Indian origin,26,24,487,18.1725,122.9075,2,49,18,0,1,16.844786907978825,125.02634648601496,49.29925478138966
Manoj Tiwary,KKR,Batsmen,Indian origin,28,25,523,26.15333333,124.3,3,49,16,0,1,17.022038562609282,123.85454398011889,49.07179018786216
Rahul Tewatia,GT,Batsmen,Indian origin,44,33,505,23.932,130.39,1,35,25,0,1,17.685847876903594,121.7898528083979,48.91704935635188
Saurabh Tiwary,MI,Batsmen,Indian origin,39,30,627,35.55,117.65,4,57,14,0,1,17.00810187483363,122.80488650474634,48.74713726380744
Shivam Dube,RCB,All Rounder,Indian origin,24,22,399,20.16666667,121.0766667,1,24,22,2,1,14.677692339061437,126.23534233157318,48.14498733681496
Rashid Khan,GT,All Rounder,Overseas,76,35,222,8.644,139.46,0,17,13,2,0,11.16030055514279,134.33317796651608,48.11216377855477
Sunil Narine,KKR,All Rounder,Overseas,134,76,954,10.66,116.707,4,106,57,2,0,16.18421216284819,121.50259545127315,47.779727149375674
Riyan Parag,RR,All Rounder,Indian origin,30,23,339,18.63333333,116.9,1,29,12,2,1,12.928550724860113,126.44158636834652,46.98246141790603
Gautam Gambhir,LSG,Batsmen,Indian origin,28,28,828,31.84,119.755,8,95,10,0,1,17.555370967982874,113.0797797182758,46.21269359307075
Karn Sharma,MI,All Rounder,Indian origin,41,25,274,11.685,115.1725,0,17,11,2,1,11.92239894108727,116.33586746705757,43.24643949887836
Harshal Patel,RCB,All Rounder,Indian origin,57,27,187,14.72142857,120.23,0,11,11,2,1,9.821645472266368,118.80220956944439,42.51581470141977
Piyush Chawla,MI,All Rounder,Indian origin,130,66,491,10.72636364,98.24272727,0,44,18,2,1,10.121410738659034,110.92820989774106,40.363450486383634
Washington Sundar,RCB,All Rounder,Indian origin,42,26,217,11.482,92.434,0,17,6,2,1,11.396546146220267,100.83282169331451,38.22742881034854
Ravichandran Ashwin,RR,All Rounder,Indian origin,149,60,446,12.322,114.405,0,36,12,2,1,5.677680317091218,113.02481333099234,37.881820221261556
Shreyas Gopal,RR,Batsmen,Indian origin,48,21,171,8.808571429,100.7757143,0,17,2,0,1,11.480156240045236,94.75235933604728,36.46181716884585
Hanuma Vihari,SRH,All Rounder,Indian origin,24,23,284,9.653333333,82.70333333,0,23,1,2,1,13.15659878474502,90.35772617163526,36.31693700081209
Umesh Yadav,DC,All Rounder,Indian origin,90,32,116,11.40625,92.66625,0,11,4,2,1,5.536396098677734,95.5959302026489,32.554256329869084
Mohit Sharma,PBKS,All Rounder,Indian origin,70,25,122,5.971666667,81.81166667,0,8,4,2,1,6.814016148357766,91.60048792195539,32.24995768043705
Bhuvneshwar Kumar,SRH,All Rounder,Indian origin,117,41,176,9.008888889,87.24555556,0,16,3,2,1,4.091066968554625,88.6764478095574,29.466681220855456
Amit Mishra,DC,All Rounder,Indian origin,108,35,229,11.33222222,71.65444444,0,17,2,2,1,4.133316552086233,81.97167775414196,27.48482491270295
Sandeep Sharma,PBKS,All Rounder,Indian origin,95,24,52,2.875,88.0125,0,4,0,2,1,2.493493468520299,83.7963222909448,26.884342115247648
